Pollutant,January,February,March,April,May,June,July,August,September,October,November,December,Average,StdDeviation,Year
NO,11,11,6,5,4,3,3,7,5,14,10,13,8,14,2011
NO2,21,20,14,14,12,11,12,14,13,16,18,18,15,10,2011
NOX,32,31,20,19,15,15,15,21,18,30,28,31,23,22,2011
O3,16,23,27,30,27,29,32,25,23,17,16,13,23,14,2011
PM2.5,5,6,4,5,6,7,9,9,7,6,6,5,6,5,2011
NO,8,11,9,6,4,2,1,4,4,9,6,10,6,12,2011
NO2,19,21,16,15,14,12,10,13,14,16,17,18,15,10,2011
NOX,28,32,25,21,18,14,11,17,18,25,23,28,22,20,2011
O3,19,24,26,29,26,29,34,26,22,17,16,14,24,13,2011
PM2.5,5,7,4,5,7,8,13,12,9,8,8,7,8,7,2011
CO,0.28,0.29,0.26,0.26,0.24,0.17,0.15,0.11,0.13,0.15,0.2,0.21,0.2,0.12,2011
NO,15,15,11,8,7,7,6,11,10,20,18,20,12,21,2011
NO2,26,25,22,20,16,15,14,16,16,18,22,21,19,11,2011
NOX,42,40,33,28,23,21,21,27,26,38,39,41,32,29,2011
O3,14,21,24,26,23,25,29,21,20,14,13,11,20,14,2011
PM2.5,5,7,5,5,7,7,11,9,8,6,6,7,7,6,2011
SO2,1.7,2.4,1.4,1.3,1.4,1.2,1.3,1.4,1.3,1.7,2.1,1.4,1.5,1.1,2011
NO,6,6,3,3,2,2,1,3,2,6,4,5,3,7,2011
NO2,22,21,16,15,13,10,10,13,13,16,15,17,15,9,2011
NOX,28,27,19,17,15,12,12,15,15,22,19,22,18,14,2011
O3,19,26,30,32,28,32,34,28,25,18,18,15,25,13,2011
PM2.5,5,7,5,5,6,6,10,9,7,6,5,5,6,6,2011
NO,14,15,12,10,8,6,5,9,7,20,14,15,11,21,2011
NO2,23,23,21,20,18,16,14,16,16,18,19,19,18,11,2011
NOX,37,38,33,30,26,22,20,24,23,37,32,34,30,29,2011
O3,18,23,25,27,22,26,30,24,21,15,15,13,21,13,2011
PM2.5,5,7,5,5,6,8,10,9,8,6,7,5,7,6,2011
NO,8,8,6,4,4,4,3,5,7,6,13,11,7,12,2012
NO2,16,17,15,13,14,12,11,13,13,11,18,16,14,9,2012
NOX,23,25,21,17,18,15,14,19,21,18,31,27,21,19,2012
O3,17,19,26,30,33,35,33,30,22,18,16,16,25,15,2012
