city,max_temp,min_temp,mean_temp,day,month,year,month_name
Toronto,14.1,9.1,11.6,04,06,2002,Jun
Toronto,23.5,11.3,17.4,05,06,2002,Jun
Toronto,17.8,12.8,15.3,06,06,2002,Jun
Toronto,21.4,11,16.2,07,06,2002,Jun
Toronto,24.9,11.7,18.3,08,06,2002,Jun
Toronto,28.4,17.9,23.2,09,06,2002,Jun
Toronto,22.4,16.3,19.4,10,06,2002,Jun
Toronto,31.2,15.6,23.4,11,06,2002,Jun
Toronto,22.4,14.7,18.6,12,06,2002,Jun
Toronto,23.3,15,19.2,13,06,2002,Jun
Toronto,19.6,14.1,16.9,14,06,2002,Jun
Toronto,19.8,14.4,17.1,15,06,2002,Jun
Toronto,19.1,13.5,16.3,16,06,2002,Jun
Toronto,19.9,12.6,16.3,17,06,2002,Jun
Toronto,23.3,11.4,17.4,18,06,2002,Jun
Toronto,24,14,19,19,06,2002,Jun
Toronto,28.6,15.5,22.1,20,06,2002,Jun
Toronto,29.9,18.5,24.2,21,06,2002,Jun
Toronto,27.6,19,23.3,22,06,2002,Jun
Toronto,33.5,18.4,26,23,06,2002,Jun
Toronto,24,16.9,20.5,24,06,2002,Jun
Toronto,29.3,16.6,23,25,06,2002,Jun
Toronto,30.6,21.3,26,26,06,2002,Jun
Toronto,27.7,19.7,23.7,27,06,2002,Jun
Toronto,28.3,18.2,23.3,28,06,2002,Jun
Toronto,29.3,18,23.7,29,06,2002,Jun
Toronto,31.4,20.2,25.8,30,06,2002,Jun
Toronto,33.3,21.6,27.5,01,07,2002,Jul
Toronto,35.1,24.8,30,02,07,2002,Jul
Toronto,34.5,25.2,29.9,03,07,2002,Jul
Toronto,32.3,19.5,25.9,04,07,2002,Jul
Toronto,25.7,15.9,20.8,05,07,2002,Jul
Toronto,27.6,17.4,22.5,06,07,2002,Jul
Toronto,29.5,16,22.8,07,07,2002,Jul
Toronto,32,20.6,26.3,08,07,2002,Jul
Toronto,29.2,20.2,24.7,09,07,2002,Jul
Toronto,24,15.8,19.9,10,07,2002,Jul
Toronto,25.1,13.8,19.5,11,07,2002,Jul
Toronto,28.2,14.3,21.3,12,07,2002,Jul
Toronto,29.4,15.1,22.3,13,07,2002,Jul
Toronto,32,17.9,25,14,07,2002,Jul
Toronto,31,22,26.5,15,07,2002,Jul
Toronto,31.1,19.4,25.3,16,07,2002,Jul
Toronto,34.2,23.7,29,17,07,2002,Jul
Toronto,27.4,20.6,24,18,07,2002,Jul
Toronto,27.6,19.8,23.7,19,07,2002,Jul
Toronto,27.9,19.1,23.5,20,07,2002,Jul
Toronto,29.7,19.3,24.5,21,07,2002,Jul
Toronto,32.6,22.8,27.7,22,07,2002,Jul
Toronto,24.6,17.3,21,23,07,2002,Jul
Toronto,23.1,15.9,19.5,24,07,2002,Jul
Toronto,23.2,15.9,19.6,25,07,2002,Jul
Toronto,26.4,19.8,23.1,26,07,2002,Jul
Toronto,28.9,18.8,23.9,27,07,2002,Jul
Toronto,32.4,21.3,26.9,28,07,2002,Jul
Toronto,31.2,21.4,26.3,29,07,2002,Jul
Toronto,31.6,21.7,26.7,30,07,2002,Jul
Toronto,31.1,22.1,26.6,31,07,2002,Jul
Toronto,34.5,23.5,29,01,08,2002,Aug
Toronto,30.7,20.7,25.7,02,08,2002,Aug
Toronto,28.4,18.2,23.3,03,08,2002,Aug
Toronto,29,19.2,24.1,04,08,2002,Aug
Toronto,28.8,17.7,23.3,05,08,2002,Aug
Toronto,22.6,14,18.3,06,08,2002,Aug
Toronto,25.1,13.9,19.5,07,08,2002,Aug
Toronto,25.7,15,20.4,08,08,2002,Aug
Toronto,27.9,16.1,22,09,08,2002,Aug
Toronto,30.3,16.1,23.2,10,08,2002,Aug
Toronto,32.4,19.2,25.8,11,08,2002,Aug
Toronto,33.5,22.2,27.9,12,08,2002,Aug
Toronto,32.9,22.6,27.8,13,08,2002,Aug
Toronto,29.9,22.4,26.2,14,08,2002,Aug
Toronto,29.8,21.9,25.9,15,08,2002,Aug
Toronto,30.6,21.1,25.9,16,08,2002,Aug
Toronto,30.5,20.1,25.3,17,08,2002,Aug
Toronto,28.1,17.7,22.9,18,08,2002,Aug
Toronto,20.9,15.9,18.4,19,08,2002,Aug
Toronto,25.9,15.7,20.8,20,08,2002,Aug
Toronto,26.4,16.3,21.4,21,08,2002,Aug
Toronto,25.6,18.7,22.2,22,08,2002,Aug
Toronto,22.6,16.4,19.5,23,08,2002,Aug
Toronto,25.4,17.7,21.6,24,08,2002,Aug
Toronto,27,17.4,22.2,25,08,2002,Aug
Toronto,28.2,15.6,21.9,26,08,2002,Aug
