city,pollutant,mean,max_temp,min_temp,mean_temp,day,month,year,month_name
Toronto,CO,0.5666666666666667,17.5,9.9,13.7,10,10,2002,Oct
Toronto,NO,43.75,17.5,9.9,13.7,10,10,2002,Oct
Toronto,NO2,26.375,17.5,9.9,13.7,10,10,2002,Oct
Toronto,O3,9.916666666666666,17.5,9.9,13.7,10,10,2002,Oct
Toronto,SO2,7.083333333333333,17.5,9.9,13.7,10,10,2002,Oct
Toronto,CO,0.425,16.7,12.3,14.5,11,10,2002,Oct
Toronto,NO,16.541666666666668,16.7,12.3,14.5,11,10,2002,Oct
Toronto,NO2,16.041666666666668,16.7,12.3,14.5,11,10,2002,Oct
Toronto,O3,15,16.7,12.3,14.5,11,10,2002,Oct
Toronto,SO2,4.666666666666667,16.7,12.3,14.5,11,10,2002,Oct
Toronto,CO,0.2875,16.5,13.5,15,12,10,2002,Oct
Toronto,NO,2.1666666666666665,16.5,13.5,15,12,10,2002,Oct
Toronto,NO2,8.708333333333334,16.5,13.5,15,12,10,2002,Oct
Toronto,O3,21.791666666666668,16.5,13.5,15,12,10,2002,Oct
Toronto,SO2,4.166666666666667,16.5,13.5,15,12,10,2002,Oct
Toronto,CO,0.18333333333333335,16.2,4.9,10.6,13,10,2002,Oct
Toronto,NO,4.916666666666667,16.2,4.9,10.6,13,10,2002,Oct
Toronto,NO2,10.833333333333334,16.2,4.9,10.6,13,10,2002,Oct
Toronto,O3,20.833333333333332,16.2,4.9,10.6,13,10,2002,Oct
Toronto,SO2,3.9583333333333335,16.2,4.9,10.6,13,10,2002,Oct
Toronto,CO,0.2,12.2,2.8,7.5,14,10,2002,Oct
Toronto,NO,3.1666666666666665,12.2,2.8,7.5,14,10,2002,Oct
Toronto,NO2,12.25,12.2,2.8,7.5,14,10,2002,Oct
Toronto,O3,21.958333333333332,12.2,2.8,7.5,14,10,2002,Oct
Toronto,SO2,3.75,12.2,2.8,7.5,14,10,2002,Oct
Toronto,CO,0.425,13.6,6.3,10,15,10,2002,Oct
Toronto,NO,25.916666666666668,13.6,6.3,10,15,10,2002,Oct
Toronto,NO2,18.166666666666668,13.6,6.3,10,15,10,2002,Oct
Toronto,O3,18.833333333333332,13.6,6.3,10,15,10,2002,Oct
Toronto,SO2,8.416666666666666,13.6,6.3,10,15,10,2002,Oct
