"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-01","2008","01","01","","2.2","","-7.4","","-2.6","","20.6","","0.0","","0.0","","","M","12.4","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-02","2008","01","02","","-7.3","","-13.6","","-10.5","","28.5","","0.0","","","M","","M","0.6","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-03","2008","01","03","","-3.8","","-15.3","","-9.6","","27.6","","0.0","","","M","","M","0.0","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-04","2008","01","04","","-0.2","","-4.2","","-2.2","","20.2","","0.0","","","M","","M","0.0","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-05","2008","01","05","","3.8","","-0.9","","1.5","","16.5","","0.0","","","M","","M","0.0","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-06","2008","01","06","","8.3","","3.0","","5.7","","12.3","","0.0","","","M","","M","1.5","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-07","2008","01","07","","13.1","","8.0","","10.6","","7.4","","0.0","","","M","","M","1.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-08","2008","01","08","","13.9","","10.1","","12.0","","6.0","","0.0","","","M","","M","2.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-09","2008","01","09","","12.5","","2.0","","7.3","","10.7","","0.0","","","M","","M","11.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-10","2008","01","10","","4.1","","0.6","","2.4","","15.6","","0.0","","","M","","M","1.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-11","2008","01","11","","7.9","","2.9","","5.4","","12.6","","0.0","","","M","","M","4.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-12","2008","01","12","","4.8","","2.6","","3.7","","14.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-13","2008","01","13","","3.1","","1.1","","2.1","","15.9","","0.0","","","M","","M","0.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-14","2008","01","14","","4.4","","0.1","","2.3","","15.7","","0.0","","","M","","M","3.5","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2008-01-15","2008","01","15","","0.5","","-2.3","","-0.9","","18.9","","0.0","","","M","","M","1.3","","","","","M","","M"
