Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,20130101,0.07,0.07,0.07,0.07,0.06,0.07,0.08,0.08,0.08,0.09,0.09,0.10,0.12,0.10,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.09
CO,010102,St Johns,NL,47.56038,-52.7115,20130102,0.11,0.11,0.10,0.10,0.09,0.10,0.12,0.15,0.19,0.14,-999,0.15,0.15,0.17,0.15,0.16,0.21,0.21,0.19,0.22,0.21,0.22,0.18,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20130103,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.24,0.21,0.14,0.12,0.13,0.15,0.15,0.17,0.22,0.18,0.20,0.20,0.14,0.15,0.14,0.15,0.13
CO,010102,St Johns,NL,47.56038,-52.7115,20130104,0.13,0.14,0.12,0.11,0.12,0.12,0.12,0.15,0.22,0.16,0.14,0.14,0.15,0.15,0.15,0.18,0.20,0.19,0.15,0.14,0.14,0.16,0.18,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20130105,0.16,0.14,0.14,0.14,0.12,0.12,0.12,0.14,0.18,0.19,0.18,0.16,0.14,0.13,0.13,0.12,0.19,0.14,0.13,0.14,0.16,0.15,0.17,0.13
CO,010102,St Johns,NL,47.56038,-52.7115,20130106,0.13,0.12,0.11,0.11,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.12,0.13,0.13,0.14,0.15,0.17,0.18,0.16,0.16,0.17,0.16,0.15,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20130107,0.12,0.11,0.10,0.10,0.10,0.10,0.12,0.16,0.17,0.14,0.14,0.14,0.15,0.14,0.15,0.16,0.16,0.14,0.12,0.12,0.11,0.13,0.11,0.10
CO,010102,St Johns,NL,47.56038,-52.7115,20130108,0.11,0.10,0.10,0.09,0.09,0.09,0.10,0.13,0.16,0.12,0.12,0.13,0.14,0.13,0.13,0.12,0.15,0.16,0.13,0.12,0.11,0.11,0.17,0.13
CO,010102,St Johns,NL,47.56038,-52.7115,20130109,0.11,0.10,0.11,0.10,0.10,0.11,0.11,0.14,0.15,-999,-999,0.15,0.16,0.15,0.15,0.16,0.19,0.23,0.18,0.19,0.24,0.38,0.66,0.43
CO,010102,St Johns,NL,47.56038,-52.7115,20130110,0.29,0.24,0.19,0.18,0.20,0.24,0.32,0.50,0.23,0.14,0.15,0.15,0.15,0.16,0.20,0.18,0.35,0.14,0.12,0.13,0.12,0.13,0.12,0.11
