File generated on // Fichier créé sur ,23/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant, CO // CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppm // ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available. // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant,NAPS ID // Identifiant SNPA,City // Ville,P/T // P/T,Latitude // Latitude,Longitude // Longitude,Date // Date,H01 // H01,H02 // H02,H03 // H03,H04 // H04,H05 // H05,H06 // H06,H07 // H07,H08 // H08,H09 // H09,H10 // H10,H11 // H11,H12 // H12,H13 // H13,H14 // H14,H15 // H15,H16 // H16,H17 // H17,H18 // H18,H19 // H19,H20 // H20,H21 // H21,H22 // H22,H23 // H23,H24 // H24
CO,10102,St Johns,NL,47.56038,-52.7115,20160101,0.2,0.21,0.18,0.18,0.2,0.15,0.13,0.11,0.14,0.14,0.13,0.15,0.15,0.19,0.16,0.13,0.14,0.14,0.14,0.14,0.15,0.17,0.17,0.17
CO,10102,St Johns,NL,47.56038,-52.7115,20160102,0.15,0.14,0.13,0.14,0.13,0.13,0.14,0.14,0.16,0.17,0.16,0.11,0.11,0.11,0.12,0.13,0.17,0.15,0.14,0.15,0.16,0.16,0.13,0.13
CO,10102,St Johns,NL,47.56038,-52.7115,20160103,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.12,0.12,0.12,0.13,0.14,0.15,0.15,0.14,0.16,0.18,0.13,0.1
CO,10102,St Johns,NL,47.56038,-52.7115,20160104,0.1,0.1,0.12,0.1,0.11,0.1,0.1,0.14,0.28,0.26,0.21,0.24,0.2,0.2,0.14,0.16,0.16,0.14,0.18,0.14,0.13,0.17,0.14,0.28
CO,10102,St Johns,NL,47.56038,-52.7115,20160105,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.12,0.14,0.13,0.11,0.13,0.16,0.16,0.13,0.16,0.17,0.17,0.13,0.12
CO,10102,St Johns,NL,47.56038,-52.7115,20160106,0.12,0.11,0.11,0.1,0.11,0.12,0.12,0.19,0.32,0.2,0.12,0.12,0.13,0.12,0.12,0.13,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.12
CO,10102,St Johns,NL,47.56038,-52.7115,20160107,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.16,0.23,0.15,0.15,0.25,0.17,0.17,0.21,0.24,0.19,0.2,0.19,0.18,0.16,0.16,0.13,0.13
CO,10102,St Johns,NL,47.56038,-52.7115,20160108,0.12,0.16,0.13,0.14,0.11,0.1,0.09,0.12,0.14,0.11,0.12,0.11,0.13,0.12,0.16,0.16,0.16,0.18,0.17,0.15,0.22,0.15,0.16,0.14
CO,10102,St Johns,NL,47.56038,-52.7115,20160109,0.13,0.14,0.15,0.15,0.12,0.11,0.11,0.11,0.12,0.13,0.13,0.11,0.13,0.17,0.18,0.16,0.14,0.16,0.23,0.17,0.17,0.24,0.37,0.18
CO,10102,St Johns,NL,47.56038,-52.7115,20160110,0.22,0.24,0.21,0.14,0.13,0.11,0.11,0.12,0.11,0.12,0.13,0.13,0.15,0.15,0.2,0.18,0.19,0.17,0.17,0.16,0.21,0.21,0.13,0.14
CO,10102,St Johns,NL,47.56038,-52.7115,20160111,0.12,0.11,0.11,0.11,0.12,0.12,0.13,0.11,0.13,0.12,0.13,0.1,0.11,0.1,0.11,0.11,0.14,0.17,0.11,0.11,0.12,0.11,0.11,0.1
CO,10102,St Johns,NL,47.56038,-52.7115,20160112,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.13,0.17,0.17,0.19,0.19,0.21,0.14,0.11,0.14,0.16,0.14,0.14,0.15,0.17,0.19,0.34,0.27
CO,10102,St Johns,NL,47.56038,-52.7115,20160113,0.31,0.24,0.23,0.23,0.22,0.24,0.11,0.12,0.13,0.13,0.14,-999,0.15,0.13,0.11,0.12,0.15,0.15,0.13,0.17,0.19,0.14,0.14,0.12
CO,10102,St Johns,NL,47.56038,-52.7115,20160114,0.13,0.13,0.13,0.13,0.12,0.1,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.15,0.16,0.16,0.22,0.19,0.18,0.21,0.19
CO,10102,St Johns,NL,47.56038,-52.7115,20160115,0.15,0.14,0.12,0.12,0.12,0.12,0.14,0.15,0.22,0.15,0.13,0.12,0.13,0.17,0.13,0.14,0.19,0.17,0.16,0.15,0.13,0.12,0.11,0.11
CO,10102,St Johns,NL,47.56038,-52.7115,20160116,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.11,0.11,0.12,0.12,0.14,0.14,0.14,0.15,0.15,0.17,0.18,0.19,0.15,0.18,0.24,0.27
CO,10102,St Johns,NL,47.56038,-52.7115,20160117,0.34,0.28,0.2,0.2,0.14,0.13,0.12,0.12,0.13,0.24,0.21,0.09,0.09,0.08,0.13,0.1,0.09,0.09,0.11,0.09,0.09,0.1,0.08,0.07
CO,10102,St Johns,NL,47.56038,-52.7115,20160118,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.12,0.16,0.16,0.13,0.15,0.17,0.22,0.17,0.17,0.24,0.16,0.18,0.15,0.21,0.13,0.22,0.21
CO,10102,St Johns,NL,47.56038,-52.7115,20160119,0.11,0.13,0.11,0.1,0.14,0.14,0.23,0.32,0.36,0.31,0.15,0.11,0.1,0.09,0.09,0.09,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11
CO,10102,St Johns,NL,47.56038,-52.7115,20160120,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.13,0.11,0.09,0.09,0.08,0.08,0.08,0.08
CO,10102,St Johns,NL,47.56038,-52.7115,20160121,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.09,0.1,0.09,0.09,0.13,0.14,0.12,0.12,0.15,0.19,0.15,0.16,0.15,0.2,0.24,0.23,0.39
CO,10102,St Johns,NL,47.56038,-52.7115,20160122,0.15,0.13,0.13,0.14,0.13,0.11,0.11,0.15,0.15,0.13,0.13,0.11,0.11,0.11,0.11,0.12,0.15,0.16,0.13,0.12,0.11,0.12,0.12,0.11
CO,10102,St Johns,NL,47.56038,-52.7115,20160123,0.14,0.12,0.1,0.11,0.1,0.09,0.09,0.09,0.11,0.11,0.12,0.14,0.17,0.15,0.15,0.17,0.24,0.18,0.22,0.18,0.18,0.18,0.18,0.27
