File generated on // Fichier créé sur, 2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppm // ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant ,NAPS ID//Identifiant SNPA,City//Ville,P/T//P/T,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
CO,10102,St Johns,NL,47.56038,-52.71147,20170101,0.15,0.14,0.13,0.15,0.11,0.11,0.11,0.1,0.12,0.12,0.11,0.12,0.13,0.14,0.13,0.13,0.17,0.1,0.14,0.12,0.11,0.11,0.11,0.11
CO,10102,St Johns,NL,47.56038,-52.71147,20170102,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.09,0.11,0.42,0.16,0.1,0.14,0.22,0.22,0.11,0.1,0.09,0.08,0.09,0.11,0.08,0.1,0.08
CO,10102,St Johns,NL,47.56038,-52.71147,20170103,0.07,0.06,0.06,0.05,0.06,0.05,0.08,0.06,0.07,0.07,0.06,0.15,0.15,0.14,0.16,0.16,0.26,0.06,0.11,0.14,0.12,0.12,0.2,0.22
CO,10102,St Johns,NL,47.56038,-52.71147,20170104,0.15,0.18,0.12,0.09,0.09,0.08,0.27,0.11,0.13,0.12,0.11,0.09,0.08,0.07,0.18,0.12,0.1,0.11,0.07,0.06,0.05,0.05,0.04,0.05
CO,10102,St Johns,NL,47.56038,-52.71147,20170105,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.06,0.17,0.07,0.1,0.12,0.15,0.06,0.08,0.09,0.1,0.06,0.08,0.08,0.07,0.07,0.06,0.06
CO,10102,St Johns,NL,47.56038,-52.71147,20170106,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.07,0.11,0.09,0.09,0.11,0.12,0.12,0.12,0.13,0.16,0.07,0.14,0.12,0.12,0.12,0.12,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170107,0.18,0.34,0.35,0.31,0.19,0.1,0.09,0.1,0.1,0.1,0.11,0.06,0.06,0.08,0.07,0.08,0.1,0.1,0.12,0.16,0.14,0.13,0.13,0.12
CO,10102,St Johns,NL,47.56038,-52.71147,20170108,0.15,0.13,0.15,0.14,0.15,0.09,0.09,0.09,0.09,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.05,0.09,0.05,0.06,0.06,0.07,0.07,0.06
CO,10102,St Johns,NL,47.56038,-52.71147,20170109,0.07,0.07,0.07,0.07,0.07,0.06,0.08,0.09,0.11,0.1,0.09,0.08,0.11,0.17,0.12,0.13,0.15,0.09,0.08,0.09,0.08,0.06,0.07,0.07
CO,10102,St Johns,NL,47.56038,-52.71147,20170110,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.09,0.16,0.17,0.15,0.09,-999,0.26,0.16,0.17,0.25,0.09,0.31,0.29,0.37,0.43,0.39,0.38
CO,10102,St Johns,NL,47.56038,-52.71147,20170111,0.41,0.29,0.33,0.23,0.2,0.24,0.26,0.38,0.63,0.7,0.58,0.16,0.16,0.15,0.15,0.17,0.21,0.38,0.16,0.14,0.15,0.21,0.14,0.13
CO,10102,St Johns,NL,47.56038,-52.71147,20170112,0.13,0.13,0.12,0.11,0.12,0.11,0.11,0.14,0.18,0.14,0.13,0.15,0.14,0.15,0.16,0.19,0.21,0.14,0.13,0.14,0.12,0.12,0.12,0.12
CO,10102,St Johns,NL,47.56038,-52.71147,20170113,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.13,0.11,0.11,0.11,0.13,0.13,0.13,0.15,0.16,0.11,0.15,0.15,0.15,0.16,0.17,0.13
CO,10102,St Johns,NL,47.56038,-52.71147,20170114,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.11,0.14,0.14,0.13,0.14,0.15,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170115,0.15,0.14,0.14,0.14,0.13,0.12,0.13,0.15,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.18,0.15,0.31,0.39,0.44,0.3,0.24,0.15
CO,10102,St Johns,NL,47.56038,-52.71147,20170116,0.12,0.13,0.12,0.11,0.27,0.42,0.18,0.44,0.33,0.2,0.16,0.2,0.22,0.17,0.21,0.23,0.19,0.44,0.17,0.38,0.19,0.18,0.2,0.22
