*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2022-03-25"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","LandUse","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete"
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","CO","0.18","0.19","0.22","0.18","0.18","0.19","0.15","0.15","0.16","0.16","0.16","0.17","0.17","0.09","99"
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","NO","2","2","3","3","6","7","6","3","4","3","2","3","4","8","99"
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","NO2","6","5","8","6","6","7","4","4","5","5","4","5","5","6","99"
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","NOX","8","7","11","9","11","13","11","7","8","8","6","8","9","13","99"
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","O3","34","32","33","34","28","20","17","20","19","21","27","29","26","10","99"
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","PM2.5","4","4","7","5","3","4","5","6","3","5","3","3","4","4","92"
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","SO2","0.5","0.4","0.4","0.7","0.8","1.1","1.6","2","1.1","1","0.4","0.7","0.9","0.8","96"
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","CO","0.2","0.18","0.2","0.2","0.19","0.21","0.25","0.13","0.13","0.15","0.15","0.14","0.18","0.05","90"
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","NO","1","1","1","1","2","1","1","1","2","3","3","2","2","4","97"
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","NO2","1","1","1","1","1","1","1","1","1","2","3","4","2","3","97"
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","NOX","2","1","1","2","3","2","2","2","3","5","5","5","3","6","97"
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","O3","35","36","39","38","32","25","19","22","21","24","29","32","29","9","98"
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","PM2.5","6","6","5","4","4","3","3","4","4","6","7","7","5","4","97"
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","SO2","1.2","1","0.9","1","1.1","1.1","1.1","0.8","0.7","0.8","0.7","0.8","0.9","0.7","97"
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","CO","0.17","0.18","0.17","0.16","0.14","0.11","0.09","0.12","0.13","0.13","0.14","0.16","0.14","0.05","93"
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","NO","1","1","1","1","1","1","1","1","1","","1","1","1","2","88"
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","NO2","1","1","1","1","1","1","1","1","1","","1","2","1","1","88"
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","NOX","2","2","2","1","1","2","2","1","2","","3","3","2","3","88"
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","O3","35","36","39","36","28","22","16","22","24","28","31","36","30","9","91"
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","PM2.5","5","4","4","4","3","3","4","6","3","2","3","4","4","3","90"
