*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2022-03-25"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","LandUse","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","CO","0.17","0.15","0.16","0.16","0.16","0.16","0.17","0.18","0.17","0.15","0.15","0.15","0.16","0.06","99","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","NO","3","2","2","3","2","6","8","3","3","3","2","","3","8","85","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","NO2","6","3","4","4","3","5","6","3","4","4","4","","4","5","85","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","NOX","8","5","6","6","5","10","13","6","6","6","6","","7","11","85","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","O3","30","34","36","35","28","18","15","21","19","20","23","29","26","10","98","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","PM2.5","3","4","6","6","4","4","6","4","","","6","6","5","4","83","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","SO2","1","0.7","0.7","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.5","0.4","0.5","0.8","97","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","CO","0.1","0.11","","","","","","0.14","0.2","","","","","","31","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","NO","1","1","1","1","1","1","1","0","0","0","0","0","1","2","96","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","NO2","3","1","1","1","1","1","1","1","1","1","2","1","1","2","96","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","NOX","5","2","2","1","1","2","2","1","1","2","2","2","2","3","96","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","O3","33","37","39","22","22","15","14","24","23","21","16","20","24","10","96","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","PM2.5","6","6","6","6","3","2","4","4","4","4","5","6","5","3","99","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","SO2","0.8","0.6","0.5","0.5","0.7","1","1","1","1.1","1","1","1","0.8","0.4","96","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","CO","0.17","0.17","0.15","0.15","0.13","0.11","0.12","0.13","0.13","0.12","0.13","0.14","0.14","0.04","91","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","NO","1","1","1","1","1","1","2","2","2","2","1","1","1","2","92","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","NO2","2","1","1","1","1","1","2","2","2","2","3","2","2","1","92","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","NOX","3","3","2","2","2","2","3","3","4","4","4","3","3","3","92","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","O3","36","38","42","38","32","21","18","19","17","21","29","36","30","11","92","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","PM2.5","3","2","2","2","1","2","4","5","5","3","4","3","3","3","98","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","SO2","0.3","0.4","0.4","0.4","0.6","0.4","0.4","0.6","0.7","0.8","0.7","","0.5","0.2","88","","","","","","","","","","","",""
"010601","Happy Valley - Goose Bay","Abbot Street","53.306","-60.36314","39","PE,SU,P2,I","O3","32","35","38","38","32","21","18","17","20","21","29","32","28","9","98","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","CO","0.14","0.17","0.17","0.16","0.14","0.13","0.1","","","","","0.14","","","62","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","NO","1","1","1","1","2","3","3","2","2","1","0","0","1","2","99","","","","","","","","","","","",""
