*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2021-06-23"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","Classification","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete","","","","","","","","","","","",""
"010102","St Johns","354 Water Street","47.56038","-52.71147","17","PE,LU,P4,R","CO","0.14","0.15","0.16","0.16","0.15","0.14","0.15","0.14","0.13","0.14","0.15","0.13","0.15","0.06","99","","","","","","","","","","","",""
"010102","St Johns","354 Water Street","47.56038","-52.71147","17","PE,LU,P4,R","NO","2","2","1","2","5","4","5","2","3","2","5","2","3","7","99","","","","","","","","","","","",""
"010102","St Johns","354 Water Street","47.56038","-52.71147","17","PE,LU,P4,R","NO2","6","5","4","6","6","5","6","4","6","5","8","5","5","6","99","","","","","","","","","","","",""
"010102","St Johns","354 Water Street","47.56038","-52.71147","17","PE,LU,P4,R","NOX","9","6","5","8","11","9","11","6","9","7","12","7","8","12","99","","","","","","","","","","","",""
"010102","St Johns","354 Water Street","47.56038","-52.71147","17","PE,LU,P4,R","O3","32","33","37","35","29","26","23","23","22","27","27","37","29","9","99","","","","","","","","","","","",""
"010102","St Johns","354 Water Street","47.56038","-52.71147","17","PE,LU,P4,R","PM2.5","5","6","4","6","6","5","6","6","7","6","6","5","6","4","94","","","","","","","","","","","",""
"010102","St Johns","354 Water Street","47.56038","-52.71147","17","PE,LU,P4,R","SO2","0.8","0.9","0.9","0.6","0.5","0.3","0.4","0.3","0.2","0.3","0.3","0.2","0.5","0.7","98","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","134","PE,LU,P3,R","CO","0.14","0.14","0.13","0.14","0.15","0.16","0.2","0.21","0.18","0.16","0.17","0.13","0.16","0.05","100","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","134","PE,LU,P3,R","NO","1","1","1","1","1","1","1","1","1","1","1","1","1","2","100","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","134","PE,LU,P3,R","NO2","2","2","2","2","1","1","1","1","1","2","2","2","2","2","100","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","134","PE,LU,P3,R","NOX","3","2","2","2","2","3","2","2","2","2","3","3","2","3","100","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","134","PE,LU,P3,R","O3","32","33","34","33","28","25","21","21","22","26","25","34","28","8","100","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","134","PE,LU,P3,R","PM2.5","4","5","5","5","2","3","4","4","3","6","6","7","5","6","94","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","134","PE,LU,P3,R","SO2","0.3","0.3","0.4","0.5","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.7","96","","","","","","","","","","","",""
"010501","Grand Falls-Windsor","Scott Avenue","48.92696","-55.65966","64","PE,SU,P3,I","CO","0.16","","0.16","0.15","0.12","0.1","0.1","0.1","0.1","0.12","0.14","0.16","0.13","0.04","90","","","","","","","","","","","",""
"010501","Grand Falls-Windsor","Scott Avenue","48.92696","-55.65966","64","PE,SU,P3,I","NO","2","","2","2","2","2","1","2","1","2","1","1","2","3","93","","","","","","","","","","","",""
"010501","Grand Falls-Windsor","Scott Avenue","48.92696","-55.65966","64","PE,SU,P3,I","NO2","2","","1","2","2","1","1","1","1","2","2","2","1","2","93","","","","","","","","","","","",""
"010501","Grand Falls-Windsor","Scott Avenue","48.92696","-55.65966","64","PE,SU,P3,I","NOX","4","","3","4","3","3","2","3","3","3","2","3","3","5","93","","","","","","","","","","","",""
"010501","Grand Falls-Windsor","Scott Avenue","48.92696","-55.65966","64","PE,SU,P3,I","O3","32","","38","36","32","26","21","19","18","23","25","35","28","10","91","","","","","","","","","","","",""
