*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2022-03-25"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","LandUse","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","CO","0.16","0.16","0.16","0.14","0.12","0.12","0.13","0.15","0.16","0.17","0.16","0.16","0.15","0.05","99","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","NO","","","5","4","2","3","3","1","1","3","2","2","","","87","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","NO2","","","2","2","3","4","4","3","3","5","4","5","","","87","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","NOX","","","6","6","4","7","6","4","4","8","6","8","","","87","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","O3","29","26","34","35","28","21","18","21","22","21","25","25","25","9","100","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","PM10","13","14","15","16","12","9","10","11","10","11","14","13","12","7","100","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","PM2.5","6","6","6","7","5","4","5","5","5","5","6","6","5","3","100","","","","","","","","","","","",""
"010102","St. John's","354 Water Street","47.56038","-52.71147","7","PE,LU,P4,R","SO2","0.8","0.5","0.5","0.3","0.3","0.3","0.2","0.2","0.1","0.2","0.2","0.2","0.3","0.6","100","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","CO","0.17","0.26","0.2","0.17","0.21","0.15","0.14","0.14","0.16","0.15","0.16","0.15","0.17","0.05","98","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","NO","1","1","0","0","0","0","0","0","0","0","0","0","0","1","100","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","NO2","3","2","2","1","1","1","1","1","1","1","1","1","1","2","100","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","NOX","3","3","2","1","1","1","1","1","1","2","2","1","1","3","100","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","O3","30","35","36","36","29","23","19","21","23","24","27","28","28","8","99","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","PM10","","","","","","","","","11","10","12","10","","","32","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","PM2.5","7","7","6","6","5","3","3","3","5","4","6","5","5","4","95","","","","","","","","","","","",""
"010401","Mount Pearl","Old Placentia Road","47.50513","-52.79476","135","PE,LU,P3,R","SO2","0.7","0.4","0.3","0.3","0.4","0.2","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.4","100","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","CO","0.2","0.16","0.11","0.1","0.14","0.13","0.08","0.08","0.11","0.12","0.14","","0.12","0.06","90","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","NO","1","1","1","0","1","1","1","2","1","1","1","","1","3","90","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","NO2","3","5","4","2","1","1","1","1","1","2","1","","2","2","90","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","NOX","4","6","5","3","2","2","2","4","2","3","2","","3","4","90","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","O3","35","38","39","38","30","23","19","20","23","24","28","29","29","10","99","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","PM10","","","","","","","","","","9","10","10","","","29","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","PM2.5","4","4","4","3","2","2","3","3","3","4","5","4","3","4","99","","","","","","","","","","","",""
"010501","Grand Falls - Windsor","Scott Avenue","48.92696","-55.65966","62","PE,SU,P3,I","SO2","0.4","0.5","","0.4","0.5","0.7","0.6","0.3","0.3","","","","","","61","","","","","","","","","","","",""
"010601","Happy Valley - Goose Bay","Abbot Street","53.306","-60.36314","39","PE,SU,P2,I","O3","35","34","36","35","28","21","17","18","19","22","28","29","27","9","99","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","CO","0.15","0.2","0.18","0.19","0.17","0.15","0.09","0.1","0.16","0.2","0.15","0.13","0.15","0.06","98","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","NO","1","1","1","1","1","1","1","2","3","1","1","0","1","2","100","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","NO2","3","4","4","3","2","2","3","2","1","2","2","2","2","3","100","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","NOX","4","4","5","3","3","3","4","2","2","2","2","2","3","4","100","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","O3","34","36","36","33","27","21","16","20","21","22","27","28","27","9","100","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","PM10","","","","","","","","","10","9","12","10","","","33","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","PM2.5","6","7","7","6","5","5","6","6","4","4","5","4","5","4","99","","","","","","","","","","","",""
"010602","Corner Brook","Macpherson Ave","48.95224","-57.92207","100","PE,SU,P3,R","SO2","0.5","0.5","0.5","0.4","0.5","0.4","0.7","0.7","0.3","0.4","0.6","0.7","0.5","0.3","99","","","","","","","","","","","",""
"010801","Port Aux Choix","Port Au Choix (Town Hall)","50.7123","-57.36421","13","RB,NU,P2,F","O3","32","32","32","32","24","20","18","19","22","23","28","28","26","7","92","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","CO","0.15","0.12","0.13","0.13","0.16","0.15","0.14","0.12","0.12","0.11","0.12","0.12","0.13","0.03","96","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NO","1","1","1","0","3","1","0","0","0","1","0","1","1","2","100","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NO2","1","1","1","1","3","1","0","0","0","1","1","1","1","2","100","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","NOX","2","1","1","1","6","1","1","1","1","1","1","2","2","4","100","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","O3","35","38","34","33","27","22","24","26","30","28","32","29","30","8","92","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","PM10","11","12","12","12","11","7","7","9","8","9","12","11","10","7","100","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","PM2.5","5","6","5","6","5","3","3","4","4","4","6","5","5","3","100","","","","","","","","","","","",""
"010901","Burin","18 Hwy 220 (Main St.)","47.09899","-55.19852","1","RB,NU,P2,R","SO2","","0.1","0.1","0","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","0.1","0.1","88","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NO","0","1","2","1","1","1","1","1","2","1","1","2","1","3","99","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NO2","0","3","4","2","1","1","2","2","2","2","3","4","2","3","99","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","NOX","0","4","5","3","2","2","3","3","4","3","5","6","3","5","99","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","O3","","","47","51","53","43","29","26","27","31","36","39","","","83","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","PM2.5","2","2","3","3","2","3","3","3","2","2","2","2","3","3","98","","","","","","","","","","","",""
"011002","Labrador City","317 Hudson Drive","52.945487","-66.910306","558","PS,SU,P2,R","SO2","0.1","0.5","0.6","1.3","0.3","0.4","0.5","0.3","0.3","0.3","0.3","0.4","0.4","1.9","99","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NO","2","1","0","0","0","0","0","0","0","1","0","0","0","2","99","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NO2","4","3","2","1","1","1","1","1","1","1","1","1","2","3","99","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","NOX","5","3","2","1","1","1","1","1","2","2","2","2","2","5","99","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","O3","23","26","33","34","27","25","19","23","21","24","27","26","26","8","99","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","PM2.5","10","10","9","7","6","7","7","5","4","4","5","4","7","5","98","","","","","","","","","","","",""
"020104","Charlottetown","3 Brighton Road","46.233","-63.13667","21","T,MU,P3,R","SO2","1.2","0.6","0.3","0.2","0.2","0.1","0.1","0","0.1","0.1","0.1","0","0.2","1.3","99","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NO2","1","1","0","0","0","1","1","1","0","1","1","1","1","1","99","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","NOX","1","1","1","0","0","1","1","1","1","1","1","1","1","1","99","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","O3","32","36","39","37","29","25","19","21","21","24","26","27","28","10","99","","","","","","","","","","","",""
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","PM2.5","4","5","4","5","4","5","6","5","4","4","5","4","5","2","99","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NO2","1","1","0","0","0","1","1","0","0","1","1","0","1","1","100","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NOX","1","1","1","0","1","1","1","1","1","1","1","1","1","1","100","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","O3","33","37","38","36","30","26","19","22","22","25","27","28","29","9","98","","","","","","","","","","","",""
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","PM2.5","4","6","6","6","5","5","4","4","3","4","4","4","5","3","97","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","CO","0.13","0.14","0.12","0.1","0.09","0.09","0.1","0.09","0.1","0.08","0.17","0.08","0.11","0.21","98","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","NO","3","2","2","1","1","3","3","2","3","3","3","4","3","4","96","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","NO2","7","6","5","4","4","4","5","3","4","4","4","5","5","4","96","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","NOX","10","9","7","5","5","7","8","5","7","7","7","9","7","6","96","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","O3","26","29","32","32","28","22","21","23","19","20","20","19","24","10","99","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","PM2.5","5","7","5","6","5","5","7","5","5","5","6","6","6","3","96","","","","","","","","","","","",""
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","SO2","0.6","0.3","0.1","0.1","0.3","0.3","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.4","98","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NO","1","1","0","1","1","2","0","0","0","0","0","0","1","1","99","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NO2","7","7","6","4","5","5","1","1","1","1","2","2","3","4","99","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NOX","8","7","6","5","6","7","2","1","1","1","2","2","4","5","99","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","O3","30","34","39","36","30","25","23","25","23","24","28","29","29","10","99","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","PM2.5","4","5","4","4","4","4","6","5","4","4","5","5","5","3","99","","","","","","","","","","","",""
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","SO2","0.6","0.6","0.4","0.3","0.3","0.1","0.4","0.3","0.2","0.2","0.3","0.3","0.3","0.4","98","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","NO","2","2","2","2","1","1","1","1","1","1","3","2","1","4","99","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","NO2","4","4","3","3","2","2","1","1","2","2","3","3","3","4","99","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","NOX","6","6","4","5","3","2","2","2","2","3","6","5","4","8","99","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","O3","34","36","37","35","30","24","20","22","22","24","27","27","28","9","97","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","PM2.5","5","5","5","5","5","5","6","5","4","4","6","5","5","3","100","","","","","","","","","","","",""
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","SO2","0.6","0.9","0.8","0.6","0.6","0.1","0.2","0.2","0.3","0.6","1","1.3","0.6","2.2","99","","","","","","","","","","","",""
