"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-01","2010","01","01","","1.9","","-9.9","","-4.0","","22.0","","0.0","","","M","","M","1.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-02","2010","01","02","","-9.7","","-16.5","","-13.1","","31.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-03","2010","01","03","","-9.3","","-14.7","","-12.0","","30.0","","0.0","","","M","","M","2.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-04","2010","01","04","","-6.7","","-12.0","","-9.4","","27.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-05","2010","01","05","","-3.6","","-10.4","","-7.0","","25.0","","0.0","","","M","","M","2.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-06","2010","01","06","","-1.9","","-8.9","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-07","2010","01","07","","-2.6","","-6.0","","-4.3","","22.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-08","2010","01","08","","-6.0","","-11.4","","-8.7","","26.7","","0.0","","","M","","M","1.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-09","2010","01","09","","-8.6","","-14.0","","-11.3","","29.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-10","2010","01","10","","-1.7","","-12.1","","-6.9","","24.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-11","2010","01","11","","-3.3","","-6.5","","-4.9","","22.9","","0.0","","","M","","M","0.6","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-12","2010","01","12","","-4.3","","-7.3","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2010-01-13","2010","01","13","","0.8","","-5.2","","-2.2","","20.2","","0.0","","","M","","M","0.0","","","","","M","","M"
