"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2005-01-01","2005","01","01","","5.4","","-0.4","","2.5","","15.5","","0.0","","","","","","0.0","","1","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-02","2005","01","02","","7.6","","-1.1","","3.3","","14.7","","0.0","","","","","","13.6","","0","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-03","2005","01","03","","4.5","","1.4","","3.0","","15.0","","0.0","","","","","","0.7","","1","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-04","2005","01","04","","2.3","","-0.3","","1.0","","17.0","","0.0","","","","","","0.7","","0","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-05","2005","01","05","","0.2","","-6.1","","-3.0","","21.0","","0.0","","","","","","0.0","","1","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-06","2005","01","06","","-0.3","","-7.1","","-3.7","","21.7","","0.0","","","","","","8.8","","1","E","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-07","2005","01","07","","0.7","","-3.5","","-1.4","","19.4","","0.0","","","","","","0.0","","4","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-08","2005","01","08","","1.6","","-0.7","","0.5","","17.5","","0.0","","","","","","1.0","","5","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-09","2005","01","09","","3.0","","-0.7","","1.2","","16.8","","0.0","","","","","","0.6","","5","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-10","2005","01","10","","3.4","","-0.8","","1.3","","16.7","","0.0","","","","","","0.0","","2","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-11","2005","01","11","","-0.7","","-3.2","","-2.0","","20.0","","0.0","","","","","","0.0","","2","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-12","2005","01","12","","7.0","","-2.1","","2.5","","15.5","","0.0","","","","","","9.6","","1","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-13","2005","01","13","","15.0","","1.1","","8.1","","9.9","","0.0","","","","","","12.2","","0","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-14","2005","01","14","","1.5","","-8.8","","-3.7","","21.7","","0.0","","","","","","0.0","","1","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-15","2005","01","15","","-5.4","","-10.3","","-7.9","","25.9","","0.0","","","","","","0.0","","2","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-16","2005","01","16","","-6.3","","-9.4","","-7.9","","25.9","","0.0","","","","","","0.6","","3","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-17","2005","01","17","","-6.9","","-17.4","","-12.2","","30.2","","0.0","","","","","","0.0","","3","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-18","2005","01","18","","-6.2","","-22.1","","-14.2","","32.2","","0.0","","","","","","0.0","","4","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-19","2005","01","19","","-1.5","","-7.8","","-4.7","","22.7","","0.0","","","","","","3.3","","9","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-20","2005","01","20","","-7.8","","-18.3","","-13.1","","31.1","","0.0","","","","","","0.0","","5","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-21","2005","01","21","","-15.5","","-22.7","","-19.1","","37.1","","0.0","","","","","","0.0","","6","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-22","2005","01","22","","-13.1","","-17.4","","-15.3","","33.3","","0.0","","","","","","7.3","","15","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-23","2005","01","23","","-12.7","","-20.5","","-16.6","","34.6","","0.0","","","","","","0.0","","12","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-24","2005","01","24","","-3.2","","-15.3","","-9.3","","27.3","","0.0","","","","","","0.7","","12","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-25","2005","01","25","","-3.7","","-9.3","","-6.5","","24.5","","0.0","","","","","","5.8","","15","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-26","2005","01","26","","-7.8","","-16.7","","-12.3","","30.3","","0.0","","","","","","0.0","","14","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-27","2005","01","27","","-10.7","","-20.6","","-15.7","","33.7","","0.0","","","","","","0.0","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-28","2005","01","28","","-6.0","","-15.4","","-10.7","","28.7","","0.0","","","","","","0.0","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-29","2005","01","29","","-0.6","","-9.3","","-5.0","","23.0","","0.0","","","","","","0.0","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-30","2005","01","30","","1.5","","-6.3","","-2.4","","20.4","","0.0","","","","","","0.0","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-01-31","2005","01","31","","-0.2","","-6.7","","-3.5","","21.5","","0.0","","","","","","0.0","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-01","2005","02","01","","1.3","","-6.5","","-2.6","","20.6","","0.0","","","","","","0.0","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-02","2005","02","02","","0.3","","-5.8","","-2.8","","20.8","","0.0","","","","","","0.0","","13","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-03","2005","02","03","","2.6","","-2.6","","0.0","","18.0","","0.0","","","","","","0.0","","12","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-04","2005","02","04","","4.6","","-3.0","","0.8","","17.2","","0.0","","","","","","0.0","","12","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-05","2005","02","05","","3.3","","-2.1","","0.6","","17.4","","0.0","","","","","","0.0","","11","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-06","2005","02","06","","3.3","","-1.0","","1.2","","16.8","","0.0","","","","","","0.0","","9","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-07","2005","02","07","","6.9","","1.2","","4.1","","13.9","","0.0","","","","","","1.6","","6","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-08","2005","02","08","","5.8","","-2.1","","1.9","","16.1","","0.0","","","","","","8.0","","4","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-09","2005","02","09","","-1.7","","-4.1","","-2.9","","20.9","","0.0","","","","","","6.2","","10","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-10","2005","02","10","","-2.6","","-6.7","","-4.7","","22.7","","0.0","","","","","","0.7","","4","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-11","2005","02","11","","2.3","","-6.9","","-2.3","","20.3","","0.0","","","","","","0.0","","4","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-12","2005","02","12","","5.6","","-4.4","","0.6","","17.4","","0.0","","","","","","0.7","","3","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2005-02-13","2005","02","13","","-1.4","","-9.6","","-5.5","","23.5","","0.0","","","","","","0.0","","3","","","","",""
